 Structure from AMSCIFDB, AMS_ID: 11145         Feff8L (EXAFS)       0.1
 Mineral Name: Copper
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Cu
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.451 Rnm= 1.504 K  shell
 Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
 Gam_ch=1.729E+00 H-L exch
 Mu=-3.774E+00 kf=1.821E+00 Vint=-1.641E+01 Rs_int= 1.991
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   20      icalc       2
 -----------------------------------------------------------------------
   3  96.000   6.0479    2.6349   -3.77422 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -3.6150   -0.0000   -3.6150  1  29 Cu
    -0.0000    1.8075   -1.8075  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.9599E+00  1.8893E-05 -5.3270E+00  9.914E-01  1.6062E+01  1.8225E+00
  0.100  3.9602E+00  9.5149E-03 -6.4915E+00  9.916E-01  1.6085E+01  1.8251E+00
  0.200  3.9612E+00  1.8178E-02 -7.5745E+00  9.923E-01  1.6152E+01  1.8330E+00
  0.300  3.9626E+00  2.5322E-02 -8.5779E+00  9.934E-01  1.6258E+01  1.8460E+00
  0.400  3.9643E+00  3.0588E-02 -9.5076E+00  9.949E-01  1.6393E+01  1.8642E+00
  0.500  3.9657E+00  3.3952E-02 -1.0370E+01  9.969E-01  1.6543E+01  1.8873E+00
  0.600  3.9666E+00  3.5657E-02 -1.1172E+01  9.992E-01  1.6694E+01  1.9151E+00
  0.700  3.9663E+00  3.6093E-02 -1.1917E+01  1.002E+00  1.6828E+01  1.9476E+00
  0.800  3.9645E+00  3.5677E-02 -1.2610E+01  1.005E+00  1.6926E+01  1.9845E+00
  0.900  3.9605E+00  3.4784E-02 -1.3253E+01  1.008E+00  1.6971E+01  2.0257E+00
  1.000  3.9539E+00  3.3708E-02 -1.3849E+01  1.012E+00  1.6949E+01  2.0709E+00
